single_gene_deletion_duplication_test3_change5_add_info_deldup,prior_genetic_testing,,text,Additional Information about 5th deletion/duplication (if available) (on 3rd deletion/duplication test),,Example: Expected to result in exon skipping of exon 3,,,,,([deldup3_result_was(1)]= '1') and [single_gene_deletion_duplication_test3_deletion_duplication_group_no]>=5
single_gene_deletion_duplication_test3_variant_of_unknown_significance_group_no,prior_genetic_testing,,text,How many variant of unknown significances would you like to enter (up to 5)?,,,,,,,([deldup3_result_was(3)]= '1') and [single_gene_deletion_duplication_test_group_no]>=3
single_gene_deletion_duplication_test3_vus1_dna_level,prior_genetic_testing,,text,1st variant of unknown significance at cDNA level (on 3rd deletion/duplication test),,Example c.33C>G,,,,,([deldup3_result_was(3)]= '1') and [single_gene_deletion_duplication_test3_variant_of_unknown_significance_group_no]>=1
single_gene_deletion_duplication_test3_vus1_protein_level,prior_genetic_testing,,text,1st variant of unknown significance at protein level (on 3rd deletion/duplication test),,Example: p.Ala11Tyr,,,,,([deldup3_result_was(3)]= '1') and [single_gene_deletion_duplication_test3_variant_of_unknown_significance_group_no]>=1
single_gene_deletion_duplication_test3_vus1_add_info_deldup,prior_genetic_testing,,text,Additional Information about 1st deletion/duplication VUS (on 3rd deletion/duplication test) (if available),,Example: Expected to result in exon skipping of exon 3,,,,,([deldup3_result_was(3)]= '1') and [single_gene_deletion_duplication_test3_variant_of_unknown_significance_group_no]>=1
single_gene_deletion_duplication_test3_vus2_dna_level,prior_genetic_testing,,text,2nd variant of unknown significance at cDNA level (on 3rd deletion/duplication test),,Example c.33C>G,,,,,([deldup3_result_was(3)]= '1') and [single_gene_deletion_duplication_test3_variant_of_unknown_significance_group_no]>=2
single_gene_deletion_duplication_test3_vus2_protein_level,prior_genetic_testing,,text,2nd variant of unknown significance at protein level (on 3rd deletion/duplication test),,Example: p.Ala11Tyr,,,,,([deldup3_result_was(3)]= '1') and [single_gene_deletion_duplication_test3_variant_of_unknown_significance_group_no]>=2
single_gene_deletion_duplication_test3_vus2_add_info_deldup,prior_genetic_testing,,text,Additional Information about 2nd deletion/duplication VUS (on 3rd deletion/duplication test) (if available),,Example: Expected to result in exon skipping of exon 3,,,,,([deldup3_result_was(3)]= '1') and [single_gene_deletion_duplication_test3_variant_of_unknown_significance_group_no]>=2
single_gene_deletion_duplication_test3_vus3_dna_level,prior_genetic_testing,,text,3rd variant of unknown significance at cDNA level (on 3rd deletion/duplication test),,Example c.33C>G,,,,,([deldup3_result_was(3)]= '1') and [single_gene_deletion_duplication_test3_variant_of_unknown_significance_group_no]>=3
single_gene_deletion_duplication_test3_vus3_protein_level,prior_genetic_testing,,text,3rd variant of unknown significance at protein level (on 3rd deletion/duplication test),,Example: p.Ala11Tyr,,,,,([deldup3_result_was(3)]= '1') and [single_gene_deletion_duplication_test3_variant_of_unknown_significance_group_no]>=3
single_gene_deletion_duplication_test3_vus3_add_info_deldup,prior_genetic_testing,,text,Additional Information about 3rd deletion/duplication VUS (on 3rd deletion/duplication test) (if available),,Example: Expected to result in exon skipping of exon 3,,,,,([deldup3_result_was(3)]= '1') and [single_gene_deletion_duplication_test3_variant_of_unknown_significance_group_no]>=3
single_gene_deletion_duplication_test3_vus4_dna_level,prior_genetic_testing,,text,4th variant of unknown significance at cDNA level (on 3rd deletion/duplication test),,Example c.33C>G,,,,,([deldup3_result_was(3)]= '1') and [single_gene_deletion_duplication_test3_variant_of_unknown_significance_group_no]>=4
single_gene_deletion_duplication_test3_vus4_protein_level,prior_genetic_testing,,text,4th variant of unknown significance at protein level (on 3rd deletion/duplication test),,Example: p.Ala11Tyr,,,,,([deldup3_result_was(3)]= '1') and [single_gene_deletion_duplication_test3_variant_of_unknown_significance_group_no]>=4
single_gene_deletion_duplication_test3_vus4_add_info_deldup,prior_genetic_testing,,text,Additional Information about 4th deletion/duplication VUS (on 3rd deletion/duplication test) (if available),,Example: Expected to result in exon skipping of exon 3,,,,,([deldup3_result_was(3)]= '1') and [single_gene_deletion_duplication_test3_variant_of_unknown_significance_group_no]>=4
single_gene_deletion_duplication_test3_vus5_dna_level,prior_genetic_testing,,text,5th variant of unknown significance at cDNA level (on 3rd deletion/duplication test),,Example c.33C>G,,,,,([deldup3_result_was(3)]= '1') and [single_gene_deletion_duplication_test3_variant_of_unknown_significance_group_no]>=5
single_gene_deletion_duplication_test3_vus5_protein_level,prior_genetic_testing,,text,5th variant of unknown significance at protein level (on 3rd deletion/duplication test),,Example: p.Ala11Tyr,,,,,([deldup3_result_was(3)]= '1') and [single_gene_deletion_duplication_test3_variant_of_unknown_significance_group_no]>=5
single_gene_deletion_duplication_test3_vus5_add_info_deldup,prior_genetic_testing,,text,Additional Information about 5th deletion/duplication VUS (on 3rd deletion/duplication test) (if available),,Example: Expected to result in exon skipping of exon 3,,,,,([deldup3_result_was(3)]= '1') and [single_gene_deletion_duplication_test3_variant_of_unknown_significance_group_no]>=5
deldup4_result,prior_genetic_testing,,text,Gene tested 4,,Example: GNE1,,,,,([genetic_tests_performed(8)]= '1') and [single_gene_deletion_duplication_test_group_no]>=4
type_deldup_test4,prior_genetic_testing,,radio,Type of deletion/duplication testing performed,"1, MLPA | 2, FISH | 3, Unknown | 4, Other",,,,,,[single_gene_deletion_duplication_test_group_no]>=4
deldup4_result_was,prior_genetic_testing,,checkbox,Indicate ALL types of results identified in gene 4,"1, Positive - disease-causing deletion/duplication identified | 2, Negative - no definite/possible disease-causing deletion/duplication identified | 3, Variant of uncertain significance | 6, Polymorphism | 4, Results pending | 5, Results not known","For example, if testing showed both a disease-causing mutation and a polymorphism, check positive and polymorphism.",,,,,[single_gene_deletion_duplication_test_group_no]>=4
single_gene_deletion_duplication_test4_deletion_duplication_group_no,prior_genetic_testing,,text,How many deletion duplications would you like to enter (up to 5)?,,,,,,,([deldup4_result_was(1)]= '1') and [single_gene_deletion_duplication_test_group_no]>=4
single_gene_deletion_duplication_test4_change1_dna_level,prior_genetic_testing,,text,Deletion/Duplication at cDNA level for 1st disease causing mutation (on 4th deletion duplication  test),,Example c.33C>G,,,,,([deldup4_result_was(1)]= '1') and [single_gene_deletion_duplication_test4_deletion_duplication_group_no]>=1
single_gene_deletion_duplication_test4_change1_protein_level,prior_genetic_testing,,text,Deletion/Duplication  at protein level for 1st disease causing mutation (on 4th deletion/duplication gene test),,Example: p.Ala11Tyr,,,,,([deldup4_result_was(1)]= '1') and [single_gene_deletion_duplication_test4_deletion_duplication_group_no]>=1
single_gene_deletion_duplication_test4_change1_add_info_deldup,prior_genetic_testing,,text,Additional Information about 1st deletion/duplication (if available) (on 4th deletion/duplication test),,Example: Expected to result in exon skipping of exon 3,,,,,([deldup4_result_was(1)]= '1') and [single_gene_deletion_duplication_test4_deletion_duplication_group_no]>=1
single_gene_deletion_duplication_test4_change2_dna_level,prior_genetic_testing,,text,Deletion/Duplication at cDNA level for 2nd disease causing mutation (on 4th deletion duplication  test),,Example c.33C>G,,,,,([deldup4_result_was(1)]= '1') and [single_gene_deletion_duplication_test4_deletion_duplication_group_no]>=2
single_gene_deletion_duplication_test4_change2_protein_level,prior_genetic_testing,,text,Deletion/Duplication  at protein level for 2nd disease causing mutation (on 4th deletion/duplication gene test),,Example: p.Ala11Tyr,,,,,([deldup4_result_was(1)]= '1') and [single_gene_deletion_duplication_test4_deletion_duplication_group_no]>=2
single_gene_deletion_duplication_test4_change2_add_info_deldup,prior_genetic_testing,,text,Additional Information about 2nd deletion/duplication (if available) (on 4th deletion/duplication test),,Example: Expected to result in exon skipping of exon 3,,,,,([deldup4_result_was(1)]= '1') and [single_gene_deletion_duplication_test4_deletion_duplication_group_no]>=2
single_gene_deletion_duplication_test4_change3_dna_level,prior_genetic_testing,,text,Deletion/Duplication at cDNA level for 3rd disease causing mutation (on 4th deletion duplication  test),,Example c.33C>G,,,,,([deldup4_result_was(1)]= '1') and [single_gene_deletion_duplication_test4_deletion_duplication_group_no]>=3
single_gene_deletion_duplication_test4_change3_protein_level,prior_genetic_testing,,text,Deletion/Duplication  at protein level for 3rd disease causing mutation (on 4th deletion/duplication gene test),,Example: p.Ala11Tyr,,,,,([deldup4_result_was(1)]= '1') and [single_gene_deletion_duplication_test4_deletion_duplication_group_no]>=3
single_gene_deletion_duplication_test4_change3_add_info_deldup,prior_genetic_testing,,text,Additional Information about 3rd deletion/duplication (if available) (on 4th deletion/duplication test),,Example: Expected to result in exon skipping of exon 3,,,,,([deldup4_result_was(1)]= '1') and [single_gene_deletion_duplication_test4_deletion_duplication_group_no]>=3
single_gene_deletion_duplication_test4_change4_dna_level,prior_genetic_testing,,text,Deletion/Duplication at cDNA level for 4th disease causing mutation (on 4th deletion duplication  test),,Example c.33C>G,,,,,([deldup4_result_was(1)]= '1') and [single_gene_deletion_duplication_test4_deletion_duplication_group_no]>=4
single_gene_deletion_duplication_test4_change4_protein_level,prior_genetic_testing,,text,Deletion/Duplication  at protein level for 4th disease causing mutation (on 4th deletion/duplication gene test),,Example: p.Ala11Tyr,,,,,([deldup4_result_was(1)]= '1') and [single_gene_deletion_duplication_test4_deletion_duplication_group_no]>=4
single_gene_deletion_duplication_test4_change4_add_info_deldup,prior_genetic_testing,,text,Additional Information about 4th deletion/duplication (if available) (on 4th deletion/duplication test),,Example: Expected to result in exon skipping of exon 3,,,,,([deldup4_result_was(1)]= '1') and [single_gene_deletion_duplication_test4_deletion_duplication_group_no]>=4
single_gene_deletion_duplication_test4_change5_dna_level,prior_genetic_testing,,text,Deletion/Duplication at cDNA level for 5th disease causing mutation (on 4th deletion duplication  test),,Example c.33C>G,,,,,([deldup4_result_was(1)]= '1') and [single_gene_deletion_duplication_test4_deletion_duplication_group_no]>=5
single_gene_deletion_duplication_test4_change5_protein_level,prior_genetic_testing,,text,Deletion/Duplication  at protein level for 5th disease causing mutation (on 4th deletion/duplication gene test),,Example: p.Ala11Tyr,,,,,([deldup4_result_was(1)]= '1') and [single_gene_deletion_duplication_test4_deletion_duplication_group_no]>=5
single_gene_deletion_duplication_test4_change5_add_info_deldup,prior_genetic_testing,,text,Additional Information about 5th deletion/duplication (if available) (on 4th deletion/duplication test),,Example: Expected to result in exon skipping of exon 3,,,,,([deldup4_result_was(1)]= '1') and [single_gene_deletion_duplication_test4_deletion_duplication_group_no]>=5
single_gene_deletion_duplication_test4_variant_of_unknown_significance_group_no,prior_genetic_testing,,text,How many variant of unknown significances would you like to enter (up to 5)?,,,,,,,([deldup4_result_was(3)]= '1') and [single_gene_deletion_duplication_test_group_no]>=4
single_gene_deletion_duplication_test4_vus1_dna_level,prior_genetic_testing,,text,1st variant of unknown significance at cDNA level (on 4th deletion/duplication test),,Example c.33C>G,,,,,([deldup4_result_was(3)]= '1') and [single_gene_deletion_duplication_test4_variant_of_unknown_significance_group_no]>=1
single_gene_deletion_duplication_test4_vus1_protein_level,prior_genetic_testing,,text,1st variant of unknown significance at protein level (on 4th deletion/duplication test),,Example: p.Ala11Tyr,,,,,([deldup4_result_was(3)]= '1') and [single_gene_deletion_duplication_test4_variant_of_unknown_significance_group_no]>=1
single_gene_deletion_duplication_test4_vus1_add_info_deldup,prior_genetic_testing,,text,Additional Information about 1st deletion/duplication VUS (on 4th deletion/duplication test) (if available),,Example: Expected to result in exon skipping of exon 3,,,,,([deldup4_result_was(3)]= '1') and [single_gene_deletion_duplication_test4_variant_of_unknown_significance_group_no]>=1
single_gene_deletion_duplication_test4_vus2_dna_level,prior_genetic_testing,,text,2nd variant of unknown significance at cDNA level (on 4th deletion/duplication test),,Example c.33C>G,,,,,([deldup4_result_was(3)]= '1') and [single_gene_deletion_duplication_test4_variant_of_unknown_significance_group_no]>=2
single_gene_deletion_duplication_test4_vus2_protein_level,prior_genetic_testing,,text,2nd variant of unknown significance at protein level (on 4th deletion/duplication test),,Example: p.Ala11Tyr,,,,,([deldup4_result_was(3)]= '1') and [single_gene_deletion_duplication_test4_variant_of_unknown_significance_group_no]>=2
single_gene_deletion_duplication_test4_vus2_add_info_deldup,prior_genetic_testing,,text,Additional Information about 2nd deletion/duplication VUS (on 4th deletion/duplication test) (if available),,Example: Expected to result in exon skipping of exon 3,,,,,([deldup4_result_was(3)]= '1') and [single_gene_deletion_duplication_test4_variant_of_unknown_significance_group_no]>=2
single_gene_deletion_duplication_test4_vus3_dna_level,prior_genetic_testing,,text,3rd variant of unknown significance at cDNA level (on 4th deletion/duplication test),,Example c.33C>G,,,,,([deldup4_result_was(3)]= '1') and [single_gene_deletion_duplication_test4_variant_of_unknown_significance_group_no]>=3
single_gene_deletion_duplication_test4_vus3_protein_level,prior_genetic_testing,,text,3rd variant of unknown significance at protein level (on 4th deletion/duplication test),,Example: p.Ala11Tyr,,,,,([deldup4_result_was(3)]= '1') and [single_gene_deletion_duplication_test4_variant_of_unknown_significance_group_no]>=3
single_gene_deletion_duplication_test4_vus3_add_info_deldup,prior_genetic_testing,,text,Additional Information about 3rd deletion/duplication VUS (on 4th deletion/duplication test) (if available),,Example: Expected to result in exon skipping of exon 3,,,,,([deldup4_result_was(3)]= '1') and [single_gene_deletion_duplication_test4_variant_of_unknown_significance_group_no]>=3
single_gene_deletion_duplication_test4_vus4_dna_level,prior_genetic_testing,,text,4th variant of unknown significance at cDNA level (on 4th deletion/duplication test),,Example c.33C>G,,,,,([deldup4_result_was(3)]= '1') and [single_gene_deletion_duplication_test4_variant_of_unknown_significance_group_no]>=4
single_gene_deletion_duplication_test4_vus4_protein_level,prior_genetic_testing,,text,4th variant of unknown significance at protein level (on 4th deletion/duplication test),,Example: p.Ala11Tyr,,,,,([deldup4_result_was(3)]= '1') and [single_gene_deletion_duplication_test4_variant_of_unknown_significance_group_no]>=4
single_gene_deletion_duplication_test4_vus4_add_info_deldup,prior_genetic_testing,,text,Additional Information about 4th deletion/duplication VUS (on 4th deletion/duplication test) (if available),,Example: Expected to result in exon skipping of exon 3,,,,,([deldup4_result_was(3)]= '1') and [single_gene_deletion_duplication_test4_variant_of_unknown_significance_group_no]>=4
single_gene_deletion_duplication_test4_vus5_dna_level,prior_genetic_testing,,text,5th variant of unknown significance at cDNA level (on 4th deletion/duplication test),,Example c.33C>G,,,,,([deldup4_result_was(3)]= '1') and [single_gene_deletion_duplication_test4_variant_of_unknown_significance_group_no]>=5
single_gene_deletion_duplication_test4_vus5_protein_level,prior_genetic_testing,,text,5th variant of unknown significance at protein level (on 4th deletion/duplication test),,Example: p.Ala11Tyr,,,,,([deldup4_result_was(3)]= '1') and [single_gene_deletion_duplication_test4_variant_of_unknown_significance_group_no]>=5
single_gene_deletion_duplication_test4_vus5_add_info_deldup,prior_genetic_testing,,text,Additional Information about 5th deletion/duplication VUS (on 4th deletion/duplication test) (if available),,Example: Expected to result in exon skipping of exon 3,,,,,([deldup4_result_was(3)]= '1') and [single_gene_deletion_duplication_test4_variant_of_unknown_significance_group_no]>=5
deldup5_result,prior_genetic_testing,,text,Gene tested 5,,Example: GNE1,,,,,([genetic_tests_performed(8)]= '1') and [single_gene_deletion_duplication_test_group_no]>=5
type_deldup_test5,prior_genetic_testing,,radio,Type of deletion/duplication testing performed,"1, MLPA | 2, FISH | 3, Unknown | 4, Other",,,,,,[single_gene_deletion_duplication_test_group_no]>=5
deldup5_result_was,prior_genetic_testing,,checkbox,Indicate ALL types of results identified in gene 5,"1, Positive - disease-causing deletion/duplication identified | 2, Negative - no definite/possible disease-causing deletion/duplication identified | 3, Variant of uncertain significance | 6, Polymorphism | 4, Results pending | 5, Results not known","For example, if testing showed both a disease-causing mutation and a polymorphism, check positive and polymorphism.",,,,,[single_gene_deletion_duplication_test_group_no]>=5
single_gene_deletion_duplication_test5_deletion_duplication_group_no,prior_genetic_testing,,text,How many deletion duplications would you like to enter (up to 5)?,,,,,,,([deldup5_result_was(1)]= '1') and [single_gene_deletion_duplication_test_group_no]>=5
single_gene_deletion_duplication_test5_change1_dna_level,prior_genetic_testing,,text,Deletion/Duplication at cDNA level for 1st disease causing mutation (on 5th deletion duplication  test),,Example c.33C>G,,,,,([deldup5_result_was(1)]= '1') and [single_gene_deletion_duplication_test5_deletion_duplication_group_no]>=1
single_gene_deletion_duplication_test5_change1_protein_level,prior_genetic_testing,,text,Deletion/Duplication  at protein level for 1st disease causing mutation (on 5th deletion/duplication gene test),,Example: p.Ala11Tyr,,,,,([deldup5_result_was(1)]= '1') and [single_gene_deletion_duplication_test5_deletion_duplication_group_no]>=1
single_gene_deletion_duplication_test5_change1_add_info_deldup,prior_genetic_testing,,text,Additional Information about 1st deletion/duplication (if available) (on 5th deletion/duplication test),,Example: Expected to result in exon skipping of exon 3,,,,,([deldup5_result_was(1)]= '1') and [single_gene_deletion_duplication_test5_deletion_duplication_group_no]>=1
single_gene_deletion_duplication_test5_change2_dna_level,prior_genetic_testing,,text,Deletion/Duplication at cDNA level for 2nd disease causing mutation (on 5th deletion duplication  test),,Example c.33C>G,,,,,([deldup5_result_was(1)]= '1') and [single_gene_deletion_duplication_test5_deletion_duplication_group_no]>=2
single_gene_deletion_duplication_test5_change2_protein_level,prior_genetic_testing,,text,Deletion/Duplication  at protein level for 2nd disease causing mutation (on 5th deletion/duplication gene test),,Example: p.Ala11Tyr,,,,,([deldup5_result_was(1)]= '1') and [single_gene_deletion_duplication_test5_deletion_duplication_group_no]>=2
single_gene_deletion_duplication_test5_change2_add_info_deldup,prior_genetic_testing,,text,Additional Information about 2nd deletion/duplication (if available) (on 5th deletion/duplication test),,Example: Expected to result in exon skipping of exon 3,,,,,([deldup5_result_was(1)]= '1') and [single_gene_deletion_duplication_test5_deletion_duplication_group_no]>=2
single_gene_deletion_duplication_test5_change3_dna_level,prior_genetic_testing,,text,Deletion/Duplication at cDNA level for 3rd disease causing mutation (on 5th deletion duplication  test),,Example c.33C>G,,,,,([deldup5_result_was(1)]= '1') and [single_gene_deletion_duplication_test5_deletion_duplication_group_no]>=3
single_gene_deletion_duplication_test5_change3_protein_level,prior_genetic_testing,,text,Deletion/Duplication  at protein level for 3rd disease causing mutation (on 5th deletion/duplication gene test),,Example: p.Ala11Tyr,,,,,([deldup5_result_was(1)]= '1') and [single_gene_deletion_duplication_test5_deletion_duplication_group_no]>=3
single_gene_deletion_duplication_test5_change3_add_info_deldup,prior_genetic_testing,,text,Additional Information about 3rd deletion/duplication (if available) (on 5th deletion/duplication test),,Example: Expected to result in exon skipping of exon 3,,,,,([deldup5_result_was(1)]= '1') and [single_gene_deletion_duplication_test5_deletion_duplication_group_no]>=3
single_gene_deletion_duplication_test5_change4_dna_level,prior_genetic_testing,,text,Deletion/Duplication at cDNA level for 4th disease causing mutation (on 5th deletion duplication  test),,Example c.33C>G,,,,,([deldup5_result_was(1)]= '1') and [single_gene_deletion_duplication_test5_deletion_duplication_group_no]>=4
single_gene_deletion_duplication_test5_change4_protein_level,prior_genetic_testing,,text,Deletion/Duplication  at protein level for 4th disease causing mutation (on 5th deletion/duplication gene test),,Example: p.Ala11Tyr,,,,,([deldup5_result_was(1)]= '1') and [single_gene_deletion_duplication_test5_deletion_duplication_group_no]>=4
single_gene_deletion_duplication_test5_change4_add_info_deldup,prior_genetic_testing,,text,Additional Information about 4th deletion/duplication (if available) (on 5th deletion/duplication test),,Example: Expected to result in exon skipping of exon 3,,,,,([deldup5_result_was(1)]= '1') and [single_gene_deletion_duplication_test5_deletion_duplication_group_no]>=4
single_gene_deletion_duplication_test5_change5_dna_level,prior_genetic_testing,,text,Deletion/Duplication at cDNA level for 5th disease causing mutation (on 5th deletion duplication  test),,Example c.33C>G,,,,,([deldup5_result_was(1)]= '1') and [single_gene_deletion_duplication_test5_deletion_duplication_group_no]>=5
single_gene_deletion_duplication_test5_change5_protein_level,prior_genetic_testing,,text,Deletion/Duplication  at protein level for 5th disease causing mutation (on 5th deletion/duplication gene test),,Example: p.Ala11Tyr,,,,,([deldup5_result_was(1)]= '1') and [single_gene_deletion_duplication_test5_deletion_duplication_group_no]>=5
single_gene_deletion_duplication_test5_change5_add_info_deldup,prior_genetic_testing,,text,Additional Information about 5th deletion/duplication (if available) (on 5th deletion/duplication test),,Example: Expected to result in exon skipping of exon 3,,,,,([deldup5_result_was(1)]= '1') and [single_gene_deletion_duplication_test5_deletion_duplication_group_no]>=5
single_gene_deletion_duplication_test5_variant_of_unknown_significance_group_no,prior_genetic_testing,,text,How many variant of unknown significances would you like to enter (up to 5)?,,,,,,,([deldup5_result_was(3)]= '1') and [single_gene_deletion_duplication_test_group_no]>=5
single_gene_deletion_duplication_test5_vus1_dna_level,prior_genetic_testing,,text,1st variant of unknown significance at cDNA level (on 5th deletion/duplication test),,Example c.33C>G,,,,,([deldup5_result_was(3)]= '1') and [single_gene_deletion_duplication_test5_variant_of_unknown_significance_group_no]>=1
single_gene_deletion_duplication_test5_vus1_protein_level,prior_genetic_testing,,text,1st variant of unknown significance at protein level (on 5th deletion/duplication test),,Example: p.Ala11Tyr,,,,,([deldup5_result_was(3)]= '1') and [single_gene_deletion_duplication_test5_variant_of_unknown_significance_group_no]>=1
single_gene_deletion_duplication_test5_vus1_add_info_deldup,prior_genetic_testing,,text,Additional Information about 1st deletion/duplication VUS (on 5th deletion/duplication test) (if available),,Example: Expected to result in exon skipping of exon 3,,,,,([deldup5_result_was(3)]= '1') and [single_gene_deletion_duplication_test5_variant_of_unknown_significance_group_no]>=1
single_gene_deletion_duplication_test5_vus2_dna_level,prior_genetic_testing,,text,2nd variant of unknown significance at cDNA level (on 5th deletion/duplication test),,Example c.33C>G,,,,,([deldup5_result_was(3)]= '1') and [single_gene_deletion_duplication_test5_variant_of_unknown_significance_group_no]>=2
single_gene_deletion_duplication_test5_vus2_protein_level,prior_genetic_testing,,text,2nd variant of unknown significance at protein level (on 5th deletion/duplication test),,Example: p.Ala11Tyr,,,,,([deldup5_result_was(3)]= '1') and [single_gene_deletion_duplication_test5_variant_of_unknown_significance_group_no]>=2
single_gene_deletion_duplication_test5_vus2_add_info_deldup,prior_genetic_testing,,text,Additional Information about 2nd deletion/duplication VUS (on 5th deletion/duplication test) (if available),,Example: Expected to result in exon skipping of exon 3,,,,,([deldup5_result_was(3)]= '1') and [single_gene_deletion_duplication_test5_variant_of_unknown_significance_group_no]>=2
single_gene_deletion_duplication_test5_vus3_dna_level,prior_genetic_testing,,text,3rd variant of unknown significance at cDNA level (on 5th deletion/duplication test),,Example c.33C>G,,,,,([deldup5_result_was(3)]= '1') and [single_gene_deletion_duplication_test5_variant_of_unknown_significance_group_no]>=3
single_gene_deletion_duplication_test5_vus3_protein_level,prior_genetic_testing,,text,3rd variant of unknown significance at protein level (on 5th deletion/duplication test),,Example: p.Ala11Tyr,,,,,([deldup5_result_was(3)]= '1') and [single_gene_deletion_duplication_test5_variant_of_unknown_significance_group_no]>=3
single_gene_deletion_duplication_test5_vus3_add_info_deldup,prior_genetic_testing,,text,Additional Information about 3rd deletion/duplication VUS (on 5th deletion/duplication test) (if available),,Example: Expected to result in exon skipping of exon 3,,,,,([deldup5_result_was(3)]= '1') and [single_gene_deletion_duplication_test5_variant_of_unknown_significance_group_no]>=3
single_gene_deletion_duplication_test5_vus4_dna_level,prior_genetic_testing,,text,4th variant of unknown significance at cDNA level (on 5th deletion/duplication test),,Example c.33C>G,,,,,([deldup5_result_was(3)]= '1') and [single_gene_deletion_duplication_test5_variant_of_unknown_significance_group_no]>=4
single_gene_deletion_duplication_test5_vus4_protein_level,prior_genetic_testing,,text,4th variant of unknown significance at protein level (on 5th deletion/duplication test),,Example: p.Ala11Tyr,,,,,([deldup5_result_was(3)]= '1') and [single_gene_deletion_duplication_test5_variant_of_unknown_significance_group_no]>=4
single_gene_deletion_duplication_test5_vus4_add_info_deldup,prior_genetic_testing,,text,Additional Information about 4th deletion/duplication VUS (on 5th deletion/duplication test) (if available),,Example: Expected to result in exon skipping of exon 3,,,,,([deldup5_result_was(3)]= '1') and [single_gene_deletion_duplication_test5_variant_of_unknown_significance_group_no]>=4
single_gene_deletion_duplication_test5_vus5_dna_level,prior_genetic_testing,,text,5th variant of unknown significance at cDNA level (on 5th deletion/duplication test),,Example c.33C>G,,,,,([deldup5_result_was(3)]= '1') and [single_gene_deletion_duplication_test5_variant_of_unknown_significance_group_no]>=5
single_gene_deletion_duplication_test5_vus5_protein_level,prior_genetic_testing,,text,5th variant of unknown significance at protein level (on 5th deletion/duplication test),,Example: p.Ala11Tyr,,,,,([deldup5_result_was(3)]= '1') and [single_gene_deletion_duplication_test5_variant_of_unknown_significance_group_no]>=5
single_gene_deletion_duplication_test5_vus5_add_info_deldup,prior_genetic_testing,,text,Additional Information about 5th deletion/duplication VUS (on 5th deletion/duplication test) (if available),,Example: Expected to result in exon skipping of exon 3,,,,,([deldup5_result_was(3)]= '1') and [single_gene_deletion_duplication_test5_variant_of_unknown_significance_group_no]>=5
mito_analysis_type,prior_genetic_testing,Mitochondrial DNA Analysis,checkbox,What type(s) of mitochondrial DNA analysis was performed?,"1, Target point mutation analysis (without deletion analysis) | 2, Whole mitochondrial genome sequencing | 3, Deletion analysis (without targetted point mutation analysis) | 4, Combination deletion and targetted mutation analysis panel | 5, Other",,,,,,[genetic_tests_performed(5)]='1'
targeted_mito_single_or_panel,prior_genetic_testing,Target Point Mutation Analysis,checkbox,Was the targeted mutation analysis for single mutations or mutation panels?,"1, Single mutations | 2, Mutation Panels",,,,,,[mito_analysis_type(1)]='1'
targeted_test_group_no,prior_genetic_testing,Targetted Mitochondrial Single Mutations,text,How many targeted tests would you like to enter (up to 5)?,,,,,,,[targeted_mito_single_or_panel(1)]='1'
targeted_mito_single_test1,prior_genetic_testing,,text,1st targeted mutation tested ,,,,,,,([targeted_mito_single_or_panel(1)]='1') and [targeted_test_group_no]>=1
targeted_mito_single_test1_sample,prior_genetic_testing,,checkbox,Tissue type tested for 1st single mutation targeted test,"1, blood | 2, urine | 3, muscle | 4, saliva | 5, other",,,,,,([targeted_mito_single_or_panel(1)]='1') and [targeted_test_group_no]>=1
targeted_mito_single_test1_sample_other_dtls,prior_genetic_testing,,text,Please specify other Tissue type tested for 1st single mutation targeted test,,,,,,,([targeted_mito_single_test1_sample(5)]='1') and [targeted_test_group_no]>=1
targeted_mito_single_test1_result,prior_genetic_testing,,radio,What was the result of the 1st single mutation targeted test?,"1, Positive | 2, Negative",,,,,,([targeted_mito_single_or_panel(1)]='1') and [targeted_test_group_no]>=1
targeted_mito_single_test2,prior_genetic_testing,,text,2nd targeted mutation tested ,,,,,,,([targeted_mito_single_or_panel(1)]='1') and [targeted_test_group_no]>=2
targeted_mito_single_test2_sample,prior_genetic_testing,,checkbox,Tissue type tested for 2nd single mutation targeted test,"1, blood | 2, urine | 3, muscle | 4, saliva | 5, other",,,,,,([targeted_mito_single_or_panel(1)]='1') and [targeted_test_group_no]>=2
targeted_mito_single_test2_sample_other_dtls,prior_genetic_testing,,text,Please specify other Tissue type tested for 2nd single mutation targeted test,,,,,,,([targeted_mito_single_test2_sample(5)]='1') and [targeted_test_group_no]>=2
targeted_mito_single_test2_result,prior_genetic_testing,,radio,What was the result of the 2nd single mutation targeted test?,"1, Positive | 2, Negative",,,,,,([targeted_mito_single_or_panel(1)]='1') and [targeted_test_group_no]>=2
targeted_mito_single_test3,prior_genetic_testing,,text,3rd targeted mutation tested ,,,,,,,([targeted_mito_single_or_panel(1)]='1') and [targeted_test_group_no]>=3
targeted_mito_single_test3_sample,prior_genetic_testing,,checkbox,Tissue type tested for 3rd single mutation targeted test,"1, blood | 2, urine | 3, muscle | 4, saliva | 5, other",,,,,,([targeted_mito_single_or_panel(1)]='1') and [targeted_test_group_no]>=3
targeted_mito_single_test3_sample_other_dtls,prior_genetic_testing,,text,Please specify other Tissue type tested for 3rd single mutation targeted test,,,,,,,([targeted_mito_single_test3_sample(5)]='1') and [targeted_test_group_no]>=3
